gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,cltv,tenure_group,avg_monthly_charge,charge_vs_avg,payment_ratio,total_services,cost_per_service,high_risk,engagement_score,tenure_x_contract,charge_x_risk,log_total_charges,log_monthly_charges,log_cltv
Male,No,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,1,2604,New,22.77,-43.71169246059918,1.081710213776722,1,21.05,1,0.2123015873015873,0,21.05,4.743626929135107,3.093312601892855,7.865187954187467
Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,5337,Mature,100.58,33.73830753940082,1.0211167512690356,5,19.7,3,3.0615079365079367,0,295.5,7.830226869931373,4.600157644164547,8.58260632996447
Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5034,Loyal,111.93897058823528,45.23830753940082,1.0176270053475935,6,18.33333333333333,1,4.801587301587301,136,110.0,8.937592887972736,4.709530201312334,8.524168805152662
Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,5154,Loyal,95.25272727272728,31.98830753940082,0.984524312896406,4,24.1875,3,3.33531746031746,0,290.25,8.564057693163521,4.582413198865475,8.54772239645106
Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,2793,Mature,77.51756756756757,11.738307539400822,1.0133015368309486,1,76.5,3,2.656746031746032,0,229.5,7.961771097640099,4.350277936359301,7.935229539816907
Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,5998,New,106.465,35.48830753940082,1.061995012468828,4,25.0625,3,2.71031746031746,0,300.75,6.971340220607248,4.617592705986649,8.699348067653093
Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,4415,New,76.51666666666667,9.638307539400827,1.0284498207885304,1,74.4,3,1.1845238095238095,0,223.2,5.440467758652715,4.32280727501391,8.392989587956931
Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,4638,Mature,79.0925925925926,13.28830753940082,1.013358008873704,2,39.025,3,1.6607142857142856,0,234.15,7.66692425508408,4.370080563655481,8.442254104751743
Female,No,Yes,No,25,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,4190,Mature,60.106,-6.161692460599177,1.0256996587030718,5,11.72,2,2.0615079365079367,0,117.2,7.315650764662011,4.087655574071304,8.340694647925071
Male,No,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,2301,New,35.45,-29.311692460599176,1.0,1,35.45,3,0.1567460317460317,0,106.35,3.5959414584546674,3.5959414584546674,7.741533589281828
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,2570,New,40.625,-20.411692460599177,0.9160090191657272,1,44.35,2,0.1706349206349206,0,88.7,4.409763389645481,3.814410176561146,7.852050207265889
Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,3964,New,70.45,5.6883075394008245,1.0,1,70.45,2,2.156746031746032,0,140.9,4.268997904375876,4.268997904375876,8.285261134068948
Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,2662,New,70.45625,6.388307539400827,0.9902494729444834,4,17.7875,2,0.6825396825396826,0,142.3,6.33620607016968,4.27874728521988,7.887208585813932
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,2600,New,45.65,-19.11169246059918,1.0,1,45.65,3,0.1567460317460317,0,136.95,3.8426729272933526,3.8426729272933526,7.8636512654486515
Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,2786,New,93.64285714285714,30.23830753940082,0.9857142857142858,3,31.666666666666668,1,1.525793650793651,0,95.0,6.486922693742851,4.564348191467836,7.932721027481948
Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,5719,Growing,79.61749999999999,17.638307539400827,0.9662317961165048,2,41.2,2,2.5634920634920637,0,164.8,7.37359399701373,4.423648309364701,8.651724084373843
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,4287,New,68.25,6.138307539400827,0.96262341325811,1,70.9,2,1.1984126984126984,0,141.8,5.613128106388071,4.275276264727001,8.363575702750637
Male,Yes,Yes,No,58,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,5444,Loyal,45.710344827586205,-19.46169246059918,1.0090583847149277,3,15.1,3,2.234126984126984,0,135.89999999999998,7.883144763243498,3.835141961092188,8.602453035367061
Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,4690,New,121.4,39.63830753940083,1.1628352490421456,5,20.880000000000003,3,2.742063492063492,0,313.20000000000005,5.496348217047172,4.657762636107262,8.453401058328458
Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,4328,Loyal,94.3433962264151,30.088307539400816,0.9946588953760158,4,23.7125,1,3.3075396825396823,53,94.85,8.517433162620845,4.562784469491653,8.37309184744198
Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,5717,Growing,76.38000000000001,9.688307539400824,1.025923438549362,1,74.45,2,1.351190476190476,0,148.9,7.044643531044259,4.323470185213858,8.651374372882257
Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,4419,New,71.94285714285715,11.688307539400824,0.9410445669438476,2,38.225,1,1.382936507936508,0,76.45,6.223766036206958,4.349632566862877,8.393894975071744
Female,No,No,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,4534,New,29.95,-34.811692460599176,1.0,1,29.95,1,0.1567460317460317,0,29.95,3.432372999130605,3.432372999130605,8.419580362549237
Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,2152,New,82.83125,19.73830753940082,0.9802514792899408,2,42.25,1,1.3968253968253967,0,84.5,6.497754902072211,4.448516375942715,7.674617497364363
Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,5142,Growing,85.51153846153846,14.488307539400822,1.0790099490414948,3,26.416666666666668,3,1.6091269841269842,0,237.75,7.014499836412125,4.385146762010125,8.545391845774915
Female,No,Yes,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,4851,New,24.8,-39.96169246059918,1.0,0,24.8,3,1.0138888888888888,0,74.4,3.250374491927572,3.250374491927572,8.48714627006394
Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,2283,New,88.5,26.23830753940082,0.9725274725274724,4,22.75,3,2.6547619047619047,0,273.0,6.2766434893416445,4.5217885770490405,7.7336835707759
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,3394,New,79.9,15.138307539400827,1.0,2,39.95,2,1.2996031746031744,0,159.8,4.393213824064446,4.393213824064446,8.130059039992796
Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,3764,Growing,101.81315789473685,41.838307539400816,0.955095289819295,6,17.766666666666666,3,2.121031746031746,0,319.79999999999995,7.568095136565964,4.678420647727684,8.233503140233994
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,2667,New,42.25,-18.76169246059918,0.9184782608695652,1,46.0,2,0.1706349206349206,0,92.0,4.448516375942715,3.8501476017100575,7.889084407035514
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,2227,New,67.0875,5.388307539400827,0.9563435495367072,1,70.15,3,1.1984126984126984,0,210.45,5.596011649126543,4.264790324535862,7.708859601047175
Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,3394,New,44.8375,-14.71169246059918,0.8958541458541459,2,25.025,1,1.3412698412698412,0,50.05,5.194899407349548,3.9328055446106736,8.130059039992796
Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,3638,New,55.2,-9.561692460599176,1.0,2,27.6,1,1.2996031746031744,0,55.2,4.028916756899646,4.028916756899646,8.19946419761216
Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,2484,New,84.6,19.838307539400816,1.0,3,28.2,2,1.4424603174603174,0,169.2,4.449685283147696,4.449685283147696,7.818027938530729
Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,2556,New,57.05,-10.36169246059918,1.0487132352941175,2,27.2,2,0.3134920634920635,0,108.8,4.745801315727837,4.014579593753238,7.846589975291186
Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,5980,New,101.84545454545454,30.23830753940082,1.0720574162679426,4,23.75,3,1.7242063492063493,0,285.0,7.022244005466835,4.564348191467836,8.696343057044556
Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,4616,Growing,71.61999999999999,9.638307539400827,0.9626344086021504,2,37.2,3,0.494047619047619,0,223.2,6.980354971396481,4.32280727501391,8.43750042250699
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,5687,New,48.55,-16.21169246059918,1.0,2,24.275,2,0.2996031746031746,0,97.1,3.902982260775997,3.902982260775997,8.646113971483077
Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,5687,New,73.575,5.638307539400827,1.045099431818182,1,70.4,2,1.1706349206349205,0,140.8,4.998225274019575,4.268297869345539,8.646113971483077
Male,Yes,Yes,No,1,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,5828,New,40.2,-24.561692460599176,1.0,2,20.1,2,1.2996031746031744,0,80.4,3.7184382563554808,3.7184382563554808,8.67060073804555
Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,4884,New,40.275,-20.161692460599177,0.9030269058295964,1,44.6,2,1.1706349206349205,0,89.2,4.401216329067023,3.819907716520341,8.493924564476883
Male,Yes,No,No,3,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,2314,New,44.06666666666666,-23.61169246059918,1.0708788983394086,2,20.575,3,0.3273809523809524,0,123.45,4.891851758106289,3.741234684447865,7.747164966520335
Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,2494,Growing,104.94615384615383,42.13830753940083,0.9817226739584082,5,21.380000000000003,3,0.8948412698412699,0,320.70000000000005,7.219129463690706,4.681204872264089,7.822044008185619
Male,No,No,No,59,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.35,1099.6,1,5084,Loyal,18.63728813559322,-45.41169246059918,0.9631673455086934,1,19.35,0,2.962301587301587,118,0.0,7.003610764625658,3.013080911888604,8.53405030848266
Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,3810,Growing,94.45,29.688307539400824,1.0,4,23.6125,3,0.7936507936507936,0,283.35,7.32132082312417,4.558602550171757,8.24564690087386
Male,No,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,5087,New,24.8,-39.96169246059918,1.0,0,24.8,1,0.0138888888888888,0,24.8,3.250374491927572,3.250374491927572,8.534640105019959
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,3338,New,70.6,5.838307539400816,1.0,1,70.6,1,0.1567460317460317,0,70.6,4.2710950739666,4.2710950739666,8.113426639943654
Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,3676,New,80.22,20.638307539400827,0.939344262295082,3,28.46666666666667,3,1.498015873015873,0,256.20000000000005,5.996700813903228,4.45898767581001,8.209852481301272
Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,4839,Loyal,108.17019230769232,40.28830753940082,1.0297019734192512,5,21.01,3,2.4365079365079367,0,315.15,8.635127326767599,4.663910681010692,8.484669999710677
Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,4643,Growing,98.88611111111112,30.388307539400827,1.039265487242366,4,23.7875,1,1.8214285714285716,0,95.15,7.484902208779911,4.565909472034789,8.443331342817782
Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,4094,New,70.0,5.238307539400822,1.0,1,70.0,2,1.1567460317460316,0,140.0,4.262679877041316,4.262679877041316,8.31752199628717
Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,4345,New,75.81875,9.738307539400822,1.017701342281879,2,37.25,3,0.3968253968253968,0,223.5,6.409434476354621,4.324132656254979,8.377011160816375
Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,4061,New,43.54,-19.911692460599177,0.9707915273132663,1,44.85,2,0.2817460317460317,0,89.7,6.078559253958916,3.825375198702474,8.30943074214033
Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,2018,Growing,71.3625,11.338307539400816,0.9377463863337716,1,76.1,3,0.4761904761904761,0,228.3,7.446410054666804,4.345103280569283,7.610357618312838
Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,2565,New,73.6,8.838307539400816,1.0,2,36.8,2,0.2996031746031746,0,147.2,4.312140507209715,4.312140507209715,7.850103545175582
Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,3677,New,99.025,30.688307539400824,1.0374541644840232,3,31.816666666666663,3,0.4841269841269841,0,286.35,5.984188138137206,4.569024739351738,8.210124405164267
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,4105,Mature,71.9796875,10.138307539400827,0.9610105140186916,1,74.9,3,1.5873015873015872,0,224.7,7.742553920000891,4.329416684401584,8.32020459757888
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,5715,New,83.11,15.838307539400816,1.0311414392059557,2,40.3,3,0.3551587301587301,0,241.8,6.032006502420918,4.401829261970061,8.651024539049757
Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,2071,Mature,80.49078947368422,15.53830753940082,1.0023759585763912,6,13.383333333333333,0,3.384920634920635,38,0.0,8.026055809319672,4.398146016553765,7.636269603379373
Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,2212,Growing,92.96041666666667,28.388307539400827,0.9979647521918052,4,23.2875,3,1.9047619047619049,0,279.45000000000005,7.710675724683985,4.544889255103161,7.70210434005105
Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,4149,Loyal,80.55740740740741,17.688307539400824,0.9770455719515756,6,13.741666666666667,0,2.607142857142857,54,0.0,8.378183965678819,4.424247650107844,8.330863613224745
Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,2671,New,69.525,5.588307539400816,0.9882729211087422,1,70.35,3,0.1706349206349206,0,211.05,4.941999501706118,4.267597343922845,7.890582534656536
Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,2473,New,73.03571428571429,9.088307539400816,0.98897378856756,1,73.85,3,0.240079365079365,0,221.55,6.238812787119009,4.3154861108656375,7.813591552952433
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,2683,New,77.9,15.838307539400816,0.9665012406947892,2,40.3,1,0.3134920634920635,0,80.6,5.054971107916307,4.401829261970061,7.895063498091573
Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,4903,Loyal,77.85220588235293,11.03830753940082,1.0270739562315692,5,15.16,1,3.658730158730159,68,75.8,8.57450881512029,4.341204640153626,8.497806477616047
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,5250,Mature,110.69418604651165,39.838307539400816,1.0582618168882565,5,20.92,2,3.3115079365079367,86,209.2,8.468181502712058,4.659658371272161,8.566173813637858
Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,4352,Loyal,104.8095238095238,38.63830753940083,1.013631758312609,5,20.68,3,2.5892857142857144,0,310.20000000000005,8.795430805040018,4.648229675448539,8.378620541552298
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,4157,New,84.1,25.638307539400827,0.9303097345132744,3,30.133333333333336,3,0.4563492063492063,0,271.20000000000005,5.131081447172122,4.515245478460105,8.332789468417959
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,4939,New,92.975,20.03830753940082,1.0964033018867925,3,28.266666666666666,2,1.4841269841269842,0,169.6,5.921310287184775,4.4520190064939165,8.505120610181969
Female,Yes,No,No,21,No,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,4778,Growing,40.00476190476191,-22.86169246059918,0.9547675872258212,2,20.95,3,0.5773809523809523,0,125.7,6.734710558968391,3.758871825933971,8.471986598578159
Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,3598,New,84.6,15.488307539400822,1.0542056074766355,2,40.125,2,0.4246031746031746,0,160.5,6.741700694652055,4.397530821209847,8.188411308079031
Male,Yes,Yes,No,27,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,2927,Mature,29.81851851851852,-34.01169246059918,0.9697079193014152,1,30.75,1,1.5178571428571428,0,30.75,6.692207804289556,3.457892725338701,7.982074875081202
