customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,churn_score,cltv,churn_reason,avg_monthly_charge,charge_vs_avg,payment_ratio,total_services,cost_per_service,high_risk,engagement_score,tenure_x_contract,charge_x_risk
8168-UQWWF,Los Angeles,90042,34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,70,5674,Competitor offered more data,100.4909090909091,33.088307539400816,1.0269893621963118,4,24.4625,2,1.7242063492063493,0,195.7
7760-OYPDY,Los Angeles,90056,33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,90,5586,Competitor offered more data,72.075,15.888307539400827,0.893676379417235,2,40.325,3,1.3134920634920633,0,241.95000000000002
9420-LOJKX,Los Angeles,90061,33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,82,2966,Competitor offered more data,95.09333333333333,34.338307539400816,0.9595694584594686,5,19.82,2,1.9226190476190477,0,198.2
7495-OOKFY,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,69,5302,Competitor made better offer,79.1625,15.888307539400827,0.9815561066336018,2,40.325,2,2.3968253968253967,0,161.3
1658-BYGOY,Los Angeles,90065,34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,81,3179,Competitor made better offer,97.36388888888888,30.688307539400824,1.0200512193702345,3,31.816666666666666,3,1.6785714285714286,0,286.35
5698-BQJOH,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,96,5571,Price too high,95.25,29.638307539400827,1.0090042372881356,3,31.46666666666667,2,1.5535714285714286,0,188.8
5919-TMRGD,Huntington Park,90255,33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,87,2483,Product dissatisfaction,79.35,14.588307539400816,1.0,2,39.675,3,1.2996031746031744,0,238.04999999999998
9191-MYQKX,Lynwood,90262,33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,70,3457,Service dissatisfaction,70.98571428571428,10.388307539400827,0.9445870164433037,2,37.575,2,2.382936507936508,0,150.3
8637-XJIVR,Marina Del Rey,90292,33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,86,5806,Lack of self-service on Website,77.27916666666667,14.188307539400824,0.9788368165505593,2,39.475,3,1.4523809523809523,0,236.85000000000002
0278-YXOOG,Inglewood,90301,33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,1,66,2604,Network reliability,22.77,-43.71169246059918,1.081710213776722,1,21.05,1,0.2123015873015873,0,21.05
4598-XLKNJ,Inglewood,90303,33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,88,5337,Limited range of services,100.58,33.73830753940082,1.0211167512690356,5,19.7,3,3.0615079365079367,0,295.5
3192-NQECA,Santa Monica,90403,34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,86,5034,Lack of affordable download/upload speed,111.93897058823529,45.23830753940082,1.0176270053475935,6,18.333333333333332,1,4.801587301587301,136,110.0
0486-HECZI,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,75,5154,Long distance charges,95.25272727272727,31.98830753940082,0.9845243128964059,4,24.1875,3,3.33531746031746,0,290.25
4846-WHAFZ,Whittier,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,67,2793,Extra data charges,77.51756756756757,11.738307539400822,1.0133015368309486,1,76.5,3,2.6567460317460316,0,229.5
5299-RULOA,Whittier,90606,33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,87,5998,Price too high,106.465,35.48830753940082,1.061995012468828,4,25.0625,3,2.71031746031746,0,300.75
0404-SWRVG,La Habra,90631,33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76,4415,Product dissatisfaction,76.51666666666667,9.638307539400827,1.0284498207885304,1,74.4,3,1.1845238095238095,0,223.20000000000002
4412-YLTKF,Pico Rivera,90660,33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,95,4638,Service dissatisfaction,79.0925925925926,13.288307539400819,1.013358008873704,2,39.025,3,1.6607142857142856,0,234.14999999999998
6207-WIOLX,Avalon,90704,33.391181,-118.421305,Female,No,Yes,No,25,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,99,4190,Lack of self-service on Website,60.106,-6.161692460599177,1.0256996587030718,5,11.72,2,2.0615079365079367,0,117.2
3091-FYHKI,Harbor City,90710,33.798266,-118.300237,Male,No,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,80,2301,Network reliability,35.45,-29.311692460599176,1.0,1,35.45,3,0.15674603174603174,0,106.35000000000001
2372-HWUHI,Lakewood,90712,33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,76,2570,Don't know,40.625,-20.411692460599177,0.9160090191657272,1,44.35,2,0.17063492063492064,0,88.7
0390-DCFDQ,Los Alamitos,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,3964,Don't know,70.45,5.6883075394008245,1.0,1,70.45,2,2.1567460317460316,0,140.9
4080-OGPJL,San Pedro,90731,33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,66,2662,Don't know,70.45625,6.388307539400827,0.9902494729444834,4,17.7875,2,0.6825396825396826,0,142.3
2135-RXIHG,Carson,90745,33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,73,2600,Poor expertise of online support,45.65,-19.11169246059918,1.0,1,45.65,3,0.15674603174603174,0,136.95
3874-EQOEP,Long Beach,90804,33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,94,2786,Poor expertise of phone support,93.64285714285714,30.23830753940082,0.9857142857142858,3,31.666666666666668,1,1.525793650793651,0,95.0
0867-MKZVY,Altadena,91001,34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,86,5719,Price too high,79.61749999999999,17.638307539400827,0.9662317961165048,2,41.2,2,2.5634920634920633,0,164.8
3376-BMGFE,Monrovia,91016,34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,75,4287,Product dissatisfaction,68.25,6.138307539400827,0.96262341325811,1,70.9,2,1.1984126984126984,0,141.8
3445-HXXGF,Sierra Madre,91024,34.168686,-118.057505,Male,Yes,Yes,No,58,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,100,5444,Service dissatisfaction,45.710344827586205,-19.46169246059918,1.0090583847149275,3,15.1,3,2.234126984126984,0,135.89999999999998
1875-QIVME,Tujunga,91042,34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,83,4690,Lack of self-service on Website,121.4,39.63830753940083,1.1628352490421456,5,20.880000000000003,3,2.742063492063492,0,313.20000000000005
0691-JVSYA,Pasadena,91103,34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,80,4328,Network reliability,94.3433962264151,30.088307539400816,0.9946588953760158,4,23.7125,1,3.3075396825396823,53,94.85
2656-FMOKZ,Pasadena,91106,34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,99,5717,Limited range of services,76.38000000000001,9.688307539400824,1.025923438549362,1,74.45,2,1.351190476190476,0,148.9
2070-FNEXE,Pasadena,91107,34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,81,4419,Lack of affordable download/upload speed,71.94285714285715,11.688307539400824,0.9410445669438476,2,38.225,1,1.382936507936508,0,76.45
6317-YPKDH,Glendale,91202,34.167926,-118.267539,Female,No,No,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,95,4534,Long distance charges,29.95,-34.811692460599176,1.0,1,29.95,1,0.15674603174603174,0,29.95
9367-WXLCH,Glendale,91204,34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,86,2152,Extra data charges,82.83125,19.73830753940082,0.9802514792899408,2,42.25,1,1.3968253968253967,0,84.5
1918-ZBFQJ,Glendale,91206,34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,73,5142,Price too high,85.51153846153846,14.488307539400822,1.0790099490414948,3,26.416666666666668,3,1.6091269841269842,0,237.75
1024-GUALD,Glendale,91207,34.182378,-118.262922,Female,No,Yes,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,94,4851,Product dissatisfaction,24.8,-39.96169246059918,1.0,0,24.8,3,1.0138888888888888,0,74.4
2472-OVKUP,Canoga Park,91304,34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,94,2283,Service dissatisfaction,88.5,26.23830753940082,0.9725274725274725,4,22.75,3,2.6547619047619047,0,273.0
1285-OKIPP,Mission Hills,91345,34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,98,3394,Lack of self-service on Website,79.9,15.138307539400827,1.0,2,39.95,2,1.2996031746031744,0,159.8
7825-ECJRF,Santa Clarita,91350,34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,71,3764,Network reliability,101.81315789473685,41.838307539400816,0.955095289819295,6,17.766666666666666,3,2.121031746031746,0,319.79999999999995
7841-TZDMQ,Sun Valley,91352,34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,76,2667,Don't know,42.25,-18.76169246059918,0.9184782608695652,1,46.0,2,0.17063492063492064,0,92.0
9408-SSNVZ,Stevenson Ranch,91381,34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,67,2227,Don't know,67.0875,5.388307539400827,0.9563435495367071,1,70.15,3,1.1984126984126984,0,210.45000000000002
0742-MOABM,Panorama City,91402,34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,82,3394,Don't know,44.8375,-14.711692460599181,0.8958541458541459,2,25.025,1,1.3412698412698412,0,50.05
2232-DMLXU,Van Nuys,91411,34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,81,3638,Poor expertise of online support,55.2,-9.561692460599176,1.0,2,27.6,1,1.2996031746031744,0,55.2
8937-RDTHP,Burbank,91504,34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,66,2484,Poor expertise of phone support,84.6,19.838307539400816,1.0,3,28.2,2,1.4424603174603174,0,169.2
1251-KRREG,North Hollywood,91601,34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,81,2556,Price too high,57.05,-10.36169246059918,1.0487132352941175,2,27.2,2,0.3134920634920635,0,108.8
0094-OIFMO,North Hollywood,91605,34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,85,5980,Product dissatisfaction,101.84545454545454,30.23830753940082,1.0720574162679426,4,23.75,3,1.7242063492063493,0,285.0
9947-OTFQU,Covina,91722,34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,86,4616,Service dissatisfaction,71.61999999999999,9.638307539400827,0.9626344086021505,2,37.2,3,0.49404761904761907,0,223.20000000000002
0322-YINQP,Covina,91723,34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,77,5687,Lack of self-service on Website,48.55,-16.21169246059918,1.0,2,24.275,2,0.2996031746031746,0,97.1
4629-NRXKX,El Monte,91731,34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,75,5687,Network reliability,73.575,5.638307539400827,1.0450994318181819,1,70.4,2,1.1706349206349205,0,140.8
9514-JDSKI,El Monte,91732,34.074492,-118.01462,Male,Yes,Yes,No,1,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,65,5828,Limited range of services,40.2,-24.561692460599176,1.0,2,20.1,2,1.2996031746031744,0,80.4
4959-JOSRX,La Puente,91744,34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,99,4884,Lack of affordable download/upload speed,40.275,-20.161692460599177,0.9030269058295963,1,44.6,2,1.1706349206349205,0,89.2
7273-TEFQD,La Puente,91746,34.038983,-117.991372,Male,Yes,No,No,3,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,96,2314,Long distance charges,44.06666666666666,-23.61169246059918,1.0708788983394086,2,20.575,3,0.3273809523809524,0,123.44999999999999
3606-TWKGI,Rowland Heights,91748,33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,84,2494,Extra data charges,104.94615384615385,42.13830753940083,0.9817226739584082,5,21.380000000000003,3,0.8948412698412699,0,320.70000000000005
6323-AYBRX,Ontario,91762,34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.35,1099.6,1,83,5084,Price too high,18.63728813559322,-45.41169246059918,0.9631673455086934,1,19.35,0,2.962301587301587,118,0.0
4385-GZQXV,Ontario,91764,34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,81,3810,Product dissatisfaction,94.45,29.688307539400824,1.0,4,23.6125,3,0.7936507936507936,0,283.35
6366-ZGQGL,Pomona,91766,34.042286,-117.756106,Male,No,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,73,5087,Service dissatisfaction,24.8,-39.96169246059918,1.0,0,24.8,1,0.013888888888888888,0,24.8
5940-AHUHD,Pomona,91768,34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,69,3338,Lack of self-service on Website,70.6,5.838307539400816,1.0,1,70.6,1,0.15674603174603174,0,70.6
6432-TWQLB,Rosemead,91770,34.065108,-118.082791,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,80,3676,Network reliability,80.22,20.638307539400827,0.939344262295082,3,28.46666666666667,3,1.498015873015873,0,256.20000000000005
4484-GLZOU,San Dimas,91773,34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,65,4839,Don't know,108.17019230769232,40.28830753940082,1.0297019734192512,5,21.009999999999998,3,2.4365079365079367,0,315.15
9512-UIBFX,West Covina,91791,34.061634,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,68,4643,Don't know,98.88611111111112,30.388307539400827,1.039265487242366,4,23.7875,1,1.8214285714285714,0,95.15
5583-SXDAG,Alhambra,91803,34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,97,4094,Don't know,70.0,5.238307539400822,1.0,1,70.0,2,1.1567460317460316,0,140.0
3488-PGMQJ,Alpine,91901,32.827184,-116.703729,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,80,4345,Poor expertise of online support,75.81875,9.738307539400822,1.017701342281879,2,37.25,3,0.3968253968253968,0,223.5
3580-REOAC,Bonita,91902,32.67117,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,83,4061,Poor expertise of phone support,43.54,-19.911692460599177,0.9707915273132663,1,44.85,2,0.28174603174603174,0,89.7
7534-BFESC,Boulevard,91905,32.677097,-116.304991,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,98,2018,Price too high,71.3625,11.338307539400816,0.9377463863337715,1,76.1,3,0.47619047619047616,0,228.29999999999998
6390-DSAZX,Guatay,91931,32.857946,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,80,2565,Product dissatisfaction,73.6,8.838307539400816,1.0,2,36.8,2,0.2996031746031746,0,147.2
8098-LLAZX,Jacumba,91934,32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,85,3677,Service dissatisfaction,99.025,30.688307539400824,1.0374541644840232,3,31.816666666666666,3,0.4841269841269841,0,286.35
0265-EDXBD,Mount Laguna,91948,32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,69,4105,Lack of self-service on Website,71.9796875,10.138307539400827,0.9610105140186915,1,74.9,3,1.5873015873015872,0,224.70000000000002
7563-BIUPC,Borrego Springs,92004,33.200369,-116.192313,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,69,5715,Network reliability,83.11,15.838307539400816,1.0311414392059555,2,40.3,3,0.3551587301587301,0,241.79999999999998
2321-OMBXY,Carlsbad,92009,33.098018,-117.258203,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,81,2071,Limited range of services,80.49078947368422,15.538307539400819,1.0023759585763912,6,13.383333333333333,0,3.384920634920635,38,0.0
2840-XANRC,Del Mar,92014,32.948262,-117.256086,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,73,2212,Lack of affordable download/upload speed,92.96041666666667,28.388307539400827,0.9979647521918052,4,23.2875,3,1.9047619047619047,0,279.45000000000005
5020-ZSTTY,El Cajon,92020,32.79697,-116.969082,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,83,4149,Long distance charges,80.55740740740741,17.688307539400824,0.9770455719515756,6,13.741666666666667,0,2.607142857142857,54,0.0
5804-LEPIM,Escondido,92029,33.079834,-117.134275,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,73,2671,Extra data charges,69.525,5.588307539400816,0.9882729211087422,1,70.35,3,0.17063492063492064,0,211.04999999999998
0122-OAHPZ,Oceanside,92057,33.254497,-117.285879,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,67,2473,Price too high,73.03571428571429,9.088307539400816,0.9889737885675599,1,73.85,3,0.24007936507936506,0,221.54999999999998
2868-SNELZ,Pala,92059,33.384345,-117.072619,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,92,2683,Product dissatisfaction,77.9,15.838307539400816,0.9665012406947893,2,40.3,1,0.3134920634920635,0,80.6
